0 Model Error:2917.79358061739[0,162143] 297 Explicit 185 
2 		Model Error:310.930793118889[6720,6911] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[6720,6815] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[6816,6911] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[6912,7007] 106 Explicit 0 
2 		Model Error:1.81898940354586E-11[7008,7103] 107 Trend 0 
2 		Model Error:392.890243924332[7104,7295] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[7104,7199] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[7200,7295] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[7296,7391] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[7392,7487] 107 Trend 0 
2 		Model Error:274.481544869188[7488,7679] 107 Explicit 2 
3 			Model Error:7.27595761418343E-12[7488,7583] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[7584,7679] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[7680,7775] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[7776,7871] 107 Trend 0 
2 		Model Error:467.930257500688[7872,8063] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[7872,7967] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[7968,8063] 107 Trend 0 
2 		Model Error:425.483107379958[8064,8255] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[8064,8159] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[8160,8255] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[8256,8351] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[8352,8447] 107 Trend 0 
2 		Model Error:152.331504943497[8448,8639] 107 Trend 2 
3 			Model Error:1.81898940354586E-11[8448,8543] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[8544,8639] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[8640,8735] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[8736,8831] 107 Trend 0 
1 	Model Error:609.374685058057[8832,9599] 113 Explicit 4 
2 		Model Error:291.588671774254[8832,9023] 107 Implicit 2 
3 			Model Error:1.45519152283669E-11[8832,8927] 106 Explicit 0 
3 			Model Error:3.27418092638254E-11[8928,9023] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[9024,9119] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[9120,9215] 107 Trend 0 
2 		Model Error:499.020352236272[9216,9599] 109 Explicit 4 
3 			Model Error:1.45519152283669E-11[9216,9311] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[9312,9407] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[9408,9503] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[9504,9599] 107 Trend 0 
1 	Model Error:739.031118374667[9600,10079] 110 Explicit 2 
2 		Model Error:479.818054806172[9600,9983] 109 Explicit 4 
3 			Model Error:2.18278728425503E-11[9600,9695] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[9696,9791] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[9792,9887] 106 Explicit 0 
3 			Model Error:2.5465851649642E-11[9888,9983] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[9984,10079] 107 Trend 0 
1 	Model Error:830.715129846569[10080,10367] 107 Trend 2 
2 		Model Error:1.45519152283669E-11[10080,10175] 107 Trend 0 
2 		Model Error:392.410136547151[10176,10367] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[10176,10271] 106 Explicit 0 
3 			Model Error:3.27418092638254E-11[10272,10367] 106 Explicit 0 
1 	Model Error:650.533521535515[10368,11423] 116 Explicit 8 
2 		Model Error:482.920458491077[10368,10559] 107 Trend 2 
3 			Model Error:7.27595761418343E-12[10368,10463] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[10464,10559] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[10560,10655] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[10656,10751] 107 Trend 0 
2 		Model Error:365.459801778074[10752,10943] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[10752,10847] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[10848,10943] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[10944,11039] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[11040,11135] 107 Trend 0 
2 		Model Error:207.4747649247[11136,11327] 107 Explicit 2 
3 			Model Error:4.36557456851006E-11[11136,11231] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[11232,11327] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[11328,11423] 107 Trend 0 
1 	Model Error:553.975355936287[11424,12671] 118 Explicit 8 
2 		Model Error:5.0931703299284E-11[11424,11519] 107 Trend 0 
2 		Model Error:245.504734804221[11520,11711] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[11520,11615] 106 Explicit 0 
3 			Model Error:3.63797880709171E-11[11616,11711] 107 Trend 0 
2 		Model Error:498.184845690805[11712,11903] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[11712,11807] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[11808,11903] 107 Trend 0 
2 		Model Error:372.040569857389[11904,12095] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[11904,11999] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[12000,12095] 107 Trend 0 
2 		Model Error:408.895443026442[12096,12287] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[12096,12191] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[12192,12287] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[12288,12383] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[12384,12479] 107 Trend 0 
2 		Model Error:405.048326058655[12480,12671] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[12480,12575] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[12576,12671] 107 Trend 0 
1 	Model Error:778.407298364509[12672,12863] 107 Trend 2 
2 		Model Error:2.91038304567337E-11[12672,12767] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[12768,12863] 107 Trend 0 
1 	Model Error:1.81898940354586E-11[12864,12959] 106 Explicit 0 
1 	Model Error:3.63797880709171E-11[12960,13055] 106 Explicit 0 
1 	Model Error:927.244354271315[13056,13247] 107 Implicit 2 
2 		Model Error:2.5465851649642E-11[13056,13151] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[13152,13247] 107 Trend 0 
1 	Model Error:2.18278728425503E-11[13248,13343] 107 Trend 0 
1 	Model Error:2.91038304567337E-11[13344,13439] 106 Explicit 0 
1 	Model Error:877.227873651656[13440,15551] 127 Explicit 16 
2 		Model Error:489.929232052651[13440,13631] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[13440,13535] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[13536,13631] 107 Trend 0 
2 		Model Error:478.889691017241[13632,13823] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[13632,13727] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[13728,13823] 106 Explicit 0 
2 		Model Error:299.013307197965[13824,14015] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[13824,13919] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[13920,14015] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[14016,14111] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[14112,14207] 106 Explicit 0 
2 		Model Error:421.127430454639[14208,14399] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[14208,14303] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[14304,14399] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[14400,14495] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[14496,14591] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[14592,14687] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[14688,14783] 107 Trend 0 
2 		Model Error:428.435387505728[14784,14975] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[14784,14879] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[14880,14975] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[14976,15071] 107 Trend 0 
2 		Model Error:4.00177668780088E-11[15072,15167] 106 Explicit 0 
2 		Model Error:184.595042078618[15168,15359] 107 Implicit 2 
3 			Model Error:1.45519152283669E-11[15168,15263] 106 Explicit 0 
3 			Model Error:1.81898940354586E-11[15264,15359] 107 Trend 0 
2 		Model Error:4.36557456851006E-11[15360,15455] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[15456,15551] 107 Trend 0 
1 	Model Error:953.501860133802[15552,17375] 124 Explicit 16 
2 		Model Error:3.63797880709171E-11[15552,15647] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[15648,15743] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[15744,15839] 106 Explicit 0 
2 		Model Error:4.36557456851006E-11[15840,15935] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[15936,16031] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[16032,16127] 106 Explicit 0 
2 		Model Error:392.099111296928[16128,16319] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[16128,16223] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[16224,16319] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[16320,16415] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[16416,16511] 107 Trend 0 
2 		Model Error:343.236729401542[16512,16703] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[16512,16607] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[16608,16703] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[16704,16799] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[16800,16895] 107 Trend 0 
2 		Model Error:348.108708315114[16896,17087] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[16896,16991] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[16992,17087] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[17088,17183] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[17184,17279] 107 Trend 0 
2 		Model Error:5.0931703299284E-11[17280,17375] 106 Explicit 0 
1 	Model Error:984.582103821223[17376,17567] 107 Explicit 2 
2 		Model Error:2.18278728425503E-11[17376,17471] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[17472,17567] 107 Trend 0 
1 	Model Error:210.681262606027[17568,17759] 107 Trend 2 
2 		Model Error:1.45519152283669E-11[17568,17663] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[17664,17759] 106 Explicit 0 
1 	Model Error:954.467071000974[17760,18239] 110 Explicit 4 
2 		Model Error:2.18278728425503E-11[17760,17855] 106 Explicit 0 
2 		Model Error:387.903485822637[17856,18047] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[17856,17951] 106 Explicit 0 
3 			Model Error:1.81898940354586E-11[17952,18047] 107 Trend 0 
