0 Model Error:2917.79358061739[0,162143] 297 Explicit 185 
3 			Model Error:2.91038304567337E-11[29088,29183] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[29184,29279] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[29280,29375] 107 Trend 0 
2 		Model Error:343.61396174402[29376,29567] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[29376,29471] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[29472,29567] 107 Trend 0 
1 	Model Error:649.944937258129[29568,30143] 111 Explicit 4 
2 		Model Error:4.36557456851006E-11[29568,29663] 107 Trend 0 
2 		Model Error:4.36557456851006E-11[29664,29759] 106 Explicit 0 
2 		Model Error:461.798953369223[29760,29951] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[29760,29855] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[29856,29951] 107 Trend 0 
2 		Model Error:399.332642796137[29952,30143] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[29952,30047] 107 Trend 0 
3 			Model Error:5.45696821063757E-11[30048,30143] 106 Explicit 0 
1 	Model Error:682.243030322876[30144,30335] 107 Trend 2 
2 		Model Error:2.18278728425503E-11[30144,30239] 107 Trend 0 
2 		Model Error:3.27418092638254E-11[30240,30335] 106 Explicit 0 
1 	Model Error:2.91038304567337E-11[30336,30431] 106 Explicit 0 
1 	Model Error:1.45519152283669E-11[30432,30527] 107 Trend 0 
1 	Model Error:716.794625310315[30528,30719] 107 Explicit 2 
2 		Model Error:1.81898940354586E-11[30528,30623] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[30624,30719] 107 Trend 0 
1 	Model Error:4.36557456851006E-11[30720,30815] 107 Trend 0 
1 	Model Error:1.45519152283669E-11[30816,30911] 107 Trend 0 
1 	Model Error:670.542535316534[30912,31487] 111 Explicit 4 
2 		Model Error:2.18278728425503E-11[30912,31007] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[31008,31103] 107 Trend 0 
2 		Model Error:455.605984841488[31104,31295] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[31104,31199] 107 Trend 0 
3 			Model Error:4.36557456851006E-11[31200,31295] 106 Explicit 0 
2 		Model Error:304.009815267789[31296,31487] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[31296,31391] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[31392,31487] 107 Trend 0 
1 	Model Error:830.938841118401[31488,33407] 125 Explicit 16 
2 		Model Error:2.91038304567337E-11[31488,31583] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[31584,31679] 107 Trend 0 
2 		Model Error:332.241212593945[31680,31871] 107 Trend 2 
3 			Model Error:2.5465851649642E-11[31680,31775] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[31776,31871] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[31872,31967] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[31968,32063] 107 Trend 0 
2 		Model Error:347.102695654663[32064,32255] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[32064,32159] 106 Explicit 0 
3 			Model Error:4.36557456851006E-11[32160,32255] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[32256,32351] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[32352,32447] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[32448,32543] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[32544,32639] 107 Trend 0 
2 		Model Error:248.579375973241[32640,32831] 107 Implicit 2 
3 			Model Error:1.45519152283669E-11[32640,32735] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[32736,32831] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[32832,32927] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[32928,33023] 107 Trend 0 
2 		Model Error:244.154306512035[33024,33215] 107 Trend 2 
3 			Model Error:4.36557456851006E-11[33024,33119] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[33120,33215] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[33216,33311] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[33312,33407] 107 Trend 0 
1 	Model Error:684.800245003724[33408,34559] 117 Explicit 8 
2 		Model Error:318.553635920893[33408,33599] 107 Explicit 2 
3 			Model Error:3.27418092638254E-11[33408,33503] 106 Explicit 0 
3 			Model Error:4.36557456851006E-11[33504,33599] 107 Trend 0 
2 		Model Error:423.165287369637[33600,33791] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[33600,33695] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[33696,33791] 107 Trend 0 
2 		Model Error:5.0931703299284E-11[33792,33887] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[33888,33983] 107 Trend 0 
2 		Model Error:383.169550835395[33984,34175] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[33984,34079] 107 Trend 0 
3 			Model Error:5.0931703299284E-11[34080,34175] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[34176,34271] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[34272,34367] 107 Trend 0 
2 		Model Error:153.655592657444[34368,34559] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[34368,34463] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[34464,34559] 107 Trend 0 
1 	Model Error:2.91038304567337E-11[34560,34655] 106 Explicit 0 
1 	Model Error:2.91038304567337E-11[34656,34751] 107 Trend 0 
1 	Model Error:1.45519152283669E-11[34752,34847] 107 Trend 0 
1 	Model Error:2.91038304567337E-11[34848,34943] 107 Trend 0 
1 	Model Error:990.471803295753[34944,35423] 110 Explicit 4 
2 		Model Error:2.91038304567337E-11[34944,35039] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[35040,35135] 107 Trend 0 
2 		Model Error:429.467609829182[35136,35327] 107 Explicit 2 
3 			Model Error:4.36557456851006E-11[35136,35231] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[35232,35327] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[35328,35423] 106 Explicit 0 
1 	Model Error:876.35567782275[35424,36287] 114 Explicit 8 
2 		Model Error:2.18278728425503E-11[35424,35519] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[35520,35615] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[35616,35711] 106 Explicit 0 
2 		Model Error:3.63797880709171E-11[35712,35807] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[35808,35903] 106 Explicit 0 
2 		Model Error:1.81898940354586E-11[35904,35999] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[36000,36095] 107 Trend 0 
2 		Model Error:351.337238556531[36096,36287] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[36096,36191] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[36192,36287] 106 Explicit 0 
1 	Model Error:820.416046189162[36288,37439] 117 Explicit 8 
2 		Model Error:1.45519152283669E-11[36288,36383] 106 Explicit 0 
2 		Model Error:1.81898940354586E-11[36384,36479] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[36480,36575] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[36576,36671] 107 Trend 0 
2 		Model Error:462.099224855203[36672,36863] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[36672,36767] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[36768,36863] 106 Explicit 0 
2 		Model Error:432.633392440366[36864,37055] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[36864,36959] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[36960,37055] 107 Trend 0 
2 		Model Error:295.527602990689[37056,37247] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[37056,37151] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[37152,37247] 107 Trend 0 
2 		Model Error:472.216923161999[37248,37439] 107 Explicit 2 
3 			Model Error:4.00177668780088E-11[37248,37343] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[37344,37439] 107 Trend 0 
1 	Model Error:707.352635299518[37440,39935] 131 Explicit 16 
2 		Model Error:472.524454867402[37440,37631] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[37440,37535] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[37536,37631] 106 Explicit 0 
2 		Model Error:453.575051198437[37632,37823] 107 Implicit 2 
3 			Model Error:2.18278728425503E-11[37632,37727] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[37728,37823] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[37824,37919] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[37920,38015] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[38016,38111] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[38112,38207] 107 Trend 0 
2 		Model Error:387.487961702398[38208,38399] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[38208,38303] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[38304,38399] 107 Trend 0 
2 		Model Error:448.452080329836[38400,38783] 109 Explicit 4 
3 			Model Error:1.45519152283669E-11[38400,38495] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[38496,38591] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[38592,38687] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[38688,38783] 107 Trend 0 
2 		Model Error:320.982680764406[38784,38975] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[38784,38879] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[38880,38975] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[38976,39071] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[39072,39167] 106 Explicit 0 
2 		Model Error:481.58286898298[39168,39359] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[39168,39263] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[39264,39359] 107 Trend 0 
2 		Model Error:482.072130531727[39360,39551] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[39360,39455] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[39456,39551] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[39552,39647] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[39648,39743] 107 Trend 0 
2 		Model Error:259.096359749565[39744,39935] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[39744,39839] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[39840,39935] 107 Trend 0 
1 	Model Error:785.208447671386[39936,42623] 133 Explicit 16 
2 		Model Error:481.853369766846[39936,40319] 109 Explicit 4 
3 			Model Error:1.45519152283669E-11[39936,40031] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[40032,40127] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[40128,40223] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[40224,40319] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[40320,40415] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[40416,40511] 107 Trend 0 
2 		Model Error:316.077983881012[40512,40703] 107 Explicit 2 
3 			Model Error:1.09139364212751E-11[40512,40607] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[40608,40703] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[40704,40799] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[40800,40895] 106 Explicit 0 
2 		Model Error:440.04113753112[40896,41087] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[40896,40991] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[40992,41087] 107 Trend 0 
2 		Model Error:438.978184843781[41088,41279] 107 Explicit 2 
3 			Model Error:7.27595761418343E-12[41088,41183] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[41184,41279] 107 Trend 0 
2 		Model Error:473.605357334483[41280,41471] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[41280,41375] 107 Trend 0 
3 			Model Error:1.81898940354586E-11[41376,41471] 107 Trend 0 
2 		Model Error:212.527252083142[41472,41663] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[41472,41567] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[41568,41663] 107 Trend 0 
2 		Model Error:1.09139364212751E-11[41664,41759] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[41760,41855] 106 Explicit 0 
2 		Model Error:276.945310056137[41856,42047] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[41856,41951] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[41952,42047] 107 Trend 0 
2 		Model Error:353.881873725724[42048,42239] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[42048,42143] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[42144,42239] 106 Explicit 0 
2 		Model Error:296.307591286521[42240,42431] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[42240,42335] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[42336,42431] 107 Trend 0 
2 		Model Error:491.294544265103[42432,42623] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[42432,42527] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[42528,42623] 107 Trend 0 
1 	Model Error:899.017639954705[42624,44927] 129 Explicit 16 
2 		Model Error:1.45519152283669E-11[42624,42719] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[42720,42815] 107 Trend 0 
2 		Model Error:175.984402725699[42816,43007] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[42816,42911] 106 Explicit 0 
3 			Model Error:1.81898940354586E-11[42912,43007] 107 Trend 0 
2 		Model Error:2.5465851649642E-11[43008,43103] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[43104,43199] 107 Trend 0 
2 		Model Error:435.636650625209[43200,43391] 107 Trend 2 
3 			Model Error:4.36557456851006E-11[43200,43295] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[43296,43391] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[43392,43487] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[43488,43583] 107 Trend 0 
2 		Model Error:467.286030936266[43584,43775] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[43584,43679] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[43680,43775] 106 Explicit 0 
2 		Model Error:375.920378928167[43776,43967] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[43776,43871] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[43872,43967] 106 Explicit 0 
2 		Model Error:4.36557456851006E-11[43968,44063] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[44064,44159] 107 Trend 0 
2 		Model Error:136.589128440952[44160,44351] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[44160,44255] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[44256,44351] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[44352,44447] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[44448,44543] 107 Trend 0 
2 		Model Error:457.192976347316[44544,44927] 109 Explicit 4 
3 			Model Error:1.45519152283669E-11[44544,44639] 107 Trend 0 
3 			Model Error:4.36557456851006E-11[44640,44735] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[44736,44831] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[44832,44927] 107 Trend 0 
1 	Model Error:780.300226942352[44928,45119] 107 Trend 2 
2 		Model Error:2.18278728425503E-11[44928,45023] 106 Explicit 0 
2 		Model Error:4.00177668780088E-11[45024,45119] 107 Trend 0 
1 	Model Error:539.293233273936[45120,45311] 107 Explicit 2 
2 		Model Error:2.18278728425503E-11[45120,45215] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[45216,45311] 107 Trend 0 
1 	Model Error:606.094653853397[45312,45887] 111 Explicit 4 
2 		Model Error:392.430818371628[45312,45503] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[45312,45407] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[45408,45503] 106 Explicit 0 
2 		Model Error:167.46488698422[45504,45695] 107 Trend 2 
3 			Model Error:3.63797880709171E-11[45504,45599] 107 Trend 0 
3 			Model Error:3.63797880709171E-11[45600,45695] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[45696,45791] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[45792,45887] 107 Trend 0 
1 	Model Error:586.124948305827[45888,46847] 115 Explicit 8 
2 		Model Error:448.442588445287[45888,46079] 107 Explicit 2 
3 			Model Error:2.5465851649642E-11[45888,45983] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[45984,46079] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[46080,46175] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[46176,46271] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[46272,46367] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[46368,46463] 107 Trend 0 
2 		Model Error:373.892334257776[46464,46655] 107 Trend 2 
3 			Model Error:1.45519152283669E-11[46464,46559] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[46560,46655] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[46656,46751] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[46752,46847] 106 Explicit 0 
1 	Model Error:728.258299780369[46848,47807] 115 Explicit 8 
2 		Model Error:207.989407583053[46848,47039] 107 Implicit 2 
3 			Model Error:3.27418092638254E-11[46848,46943] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[46944,47039] 107 Trend 0 
2 		Model Error:4.72937244921923E-11[47040,47135] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[47136,47231] 107 Trend 0 
2 		Model Error:326.086397903724[47232,47423] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[47232,47327] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[47328,47423] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[47424,47519] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[47520,47615] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[47616,47711] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[47712,47807] 106 Explicit 0 
1 	Model Error:2.18278728425503E-11[47808,47903] 107 Trend 0 
1 	Model Error:2.18278728425503E-11[47904,47999] 107 Trend 0 
1 	Model Error:903.096612959293[48000,48191] 107 Trend 2 
2 		Model Error:2.5465851649642E-11[48000,48095] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[48096,48191] 107 Trend 0 
1 	Model Error:1.45519152283669E-11[48192,48287] 106 Explicit 0 
1 	Model Error:2.91038304567337E-11[48288,48383] 107 Trend 0 
1 	Model Error:753.175049920552[48384,48575] 107 Trend 2 
2 		Model Error:3.63797880709171E-11[48384,48479] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[48480,48575] 107 Trend 0 
1 	Model Error:843.104772946936[48576,50687] 127 Explicit 16 
2 		Model Error:2.18278728425503E-11[48576,48671] 107 Trend 0 
2 		Model Error:4.36557456851006E-11[48672,48767] 106 Explicit 0 
2 		Model Error:490.20273640794[48768,48959] 107 Trend 2 
3 			Model Error:4.00177668780088E-11[48768,48863] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[48864,48959] 107 Trend 0 
2 		Model Error:3.63797880709171E-11[48960,49055] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[49056,49151] 107 Trend 0 
2 		Model Error:355.929162604909[49152,49343] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[49152,49247] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[49248,49343] 107 Trend 0 
2 		Model Error:457.363400726616[49344,49535] 107 Explicit 2 
3 			Model Error:3.27418092638254E-11[49344,49439] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[49440,49535] 107 Trend 0 
2 		Model Error:147.418977480607[49536,49727] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[49536,49631] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[49632,49727] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[49728,49823] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[49824,49919] 107 Trend 0 
2 		Model Error:364.788340927189[49920,50111] 107 Trend 2 
3 			Model Error:1.81898940354586E-11[49920,50015] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[50016,50111] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[50112,50207] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[50208,50303] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[50304,50399] 107 Trend 0 
2 		Model Error:2.5465851649642E-11[50400,50495] 107 Trend 0 
2 		Model Error:279.206195165891[50496,50687] 107 Explicit 2 
3 			Model Error:4.36557456851006E-11[50496,50591] 107 Trend 0 
3 			Model Error:2.91038304567337E-11[50592,50687] 106 Explicit 0 
1 	Model Error:694.806835219046[50688,51743] 116 Explicit 8 
2 		Model Error:2.91038304567337E-11[50688,50783] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[50784,50879] 107 Trend 0 
2 		Model Error:289.056190343821[50880,51071] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[50880,50975] 107 Trend 0 
3 			Model Error:3.27418092638254E-11[50976,51071] 106 Explicit 0 
2 		Model Error:399.820055228425[51072,51263] 107 Explicit 2 
3 			Model Error:2.18278728425503E-11[51072,51167] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[51168,51263] 107 Trend 0 
2 		Model Error:432.154844097829[51264,51455] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[51264,51359] 107 Trend 0 
3 			Model Error:4.36557456851006E-11[51360,51455] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[51456,51551] 107 Trend 0 
2 		Model Error:4.36557456851006E-11[51552,51647] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[51648,51743] 106 Explicit 0 
1 	Model Error:923.116573743733[51744,52223] 110 Explicit 4 
2 		Model Error:2.18278728425503E-11[51744,51839] 107 Trend 0 
2 		Model Error:317.342743742054[51840,52031] 107 Explicit 2 
3 			Model Error:1.81898940354586E-11[51840,51935] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[51936,52031] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[52032,52127] 107 Trend 0 
2 		Model Error:1.09139364212751E-11[52128,52223] 107 Trend 0 
1 	Model Error:760.456515112586[52224,52415] 107 Trend 2 
2 		Model Error:2.18278728425503E-11[52224,52319] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[52320,52415] 107 Trend 0 
1 	Model Error:990.651473810052[52416,52607] 107 Explicit 2 
2 		Model Error:1.45519152283669E-11[52416,52511] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[52512,52607] 106 Explicit 0 
1 	Model Error:930.151004268999[52608,54335] 123 Explicit 16 
2 		Model Error:213.530949327098[52608,52799] 107 Trend 2 
3 			Model Error:1.81898940354586E-11[52608,52703] 107 Trend 0 
3 			Model Error:5.0931703299284E-11[52704,52799] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[52800,52895] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[52896,52991] 106 Explicit 0 
2 		Model Error:3.63797880709171E-11[52992,53087] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[53088,53183] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[53184,53279] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[53280,53375] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[53376,53471] 107 Trend 0 
2 		Model Error:2.5465851649642E-11[53472,53567] 107 Trend 0 
2 		Model Error:319.965099900641[53568,53759] 107 Explicit 2 
3 			Model Error:3.63797880709171E-11[53568,53663] 106 Explicit 0 
3 			Model Error:1.81898940354586E-11[53664,53759] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[53760,53855] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[53856,53951] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[53952,54047] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[54048,54143] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[54144,54239] 107 Trend 0 
2 		Model Error:4.00177668780088E-11[54240,54335] 106 Explicit 0 
1 	Model Error:791.432432845599[54336,57215] 135 Explicit 16 
2 		Model Error:1.45519152283669E-11[54336,54431] 106 Explicit 0 
2 		Model Error:4.72937244921923E-11[54432,54527] 106 Explicit 0 
2 		Model Error:2.91038304567337E-11[54528,54623] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[54624,54719] 106 Explicit 0 
2 		Model Error:367.661351927141[54720,54911] 107 Trend 2 
3 			Model Error:2.18278728425503E-11[54720,54815] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[54816,54911] 107 Trend 0 
2 		Model Error:438.475306485903[54912,55103] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[54912,55007] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[55008,55103] 106 Explicit 0 
2 		Model Error:1.81898940354586E-11[55104,55199] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[55200,55295] 106 Explicit 0 
2 		Model Error:393.721619514043[55296,55487] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[55296,55391] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[55392,55487] 107 Trend 0 
2 		Model Error:1.81898940354586E-11[55488,55583] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[55584,55679] 107 Trend 0 
2 		Model Error:448.211415588623[55680,56063] 109 Explicit 4 
3 			Model Error:2.91038304567337E-11[55680,55775] 107 Trend 0 
3 			Model Error:1.09139364212751E-11[55776,55871] 107 Trend 0 
3 			Model Error:3.27418092638254E-11[55872,55967] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[55968,56063] 107 Trend 0 
2 		Model Error:486.411004913043[56064,56831] 113 Explicit 8 
3 			Model Error:2.91038304567337E-11[56064,56159] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[56160,56255] 107 Trend 0 
3 			Model Error:1.45519152283669E-11[56256,56351] 107 Trend 0 
3 			Model Error:3.27418092638254E-11[56352,56447] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[56448,56543] 106 Explicit 0 
3 			Model Error:2.91038304567337E-11[56544,56639] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[56640,56735] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[56736,56831] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[56832,56927] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[56928,57023] 107 Trend 0 
2 		Model Error:292.807777124202[57024,57215] 107 Explicit 2 
3 			Model Error:1.45519152283669E-11[57024,57119] 107 Trend 0 
3 			Model Error:3.27418092638254E-11[57120,57215] 107 Trend 0 
1 	Model Error:648.69716519647[57216,59327] 127 Explicit 16 
2 		Model Error:3.63797880709171E-11[57216,57311] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[57312,57407] 107 Trend 0 
2 		Model Error:445.479111130488[57408,57599] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[57408,57503] 106 Explicit 0 
3 			Model Error:3.27418092638254E-11[57504,57599] 107 Trend 0 
2 		Model Error:287.399382486979[57600,57791] 107 Explicit 2 
3 			Model Error:2.91038304567337E-11[57600,57695] 107 Trend 0 
3 			Model Error:2.18278728425503E-11[57696,57791] 106 Explicit 0 
2 		Model Error:2.18278728425503E-11[57792,57887] 106 Explicit 0 
2 		Model Error:1.45519152283669E-11[57888,57983] 107 Trend 0 
2 		Model Error:144.862260377078[57984,58175] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[57984,58079] 106 Explicit 0 
3 			Model Error:2.18278728425503E-11[58080,58175] 107 Trend 0 
2 		Model Error:1.45519152283669E-11[58176,58271] 107 Trend 0 
2 		Model Error:2.91038304567337E-11[58272,58367] 106 Explicit 0 
2 		Model Error:215.146244998468[58368,58559] 107 Trend 2 
3 			Model Error:2.91038304567337E-11[58368,58463] 106 Explicit 0 
3 			Model Error:1.45519152283669E-11[58464,58559] 107 Trend 0 
2 		Model Error:2.18278728425503E-11[58560,58655] 107 Trend 0 
