0 Model Error:2917.79358061739[0,162143] 291 Explicit 7 
2 		Model Error:658.128821810802[55296,56831] 115 Explicit 0 
2 		Model Error:592.280897819262[56832,58367] 115 Explicit 0 
2 		Model Error:662.515411367582[58368,59903] 115 Explicit 0 
2 		Model Error:771.106944194427[59904,61439] 115 Explicit 0 
2 		Model Error:1609.73905400103[61440,62975] 101 Implicit 0 
2 		Model Error:688.448158800762[62976,64511] 115 Explicit 0 
2 		Model Error:2151.4623264125[64512,66047] 115 Explicit 0 
2 		Model Error:713.176298327213[66048,67583] 115 Explicit 0 
2 		Model Error:759.4326757237[67584,69119] 115 Explicit 0 
2 		Model Error:2051.59938823141[69120,70655] 101 Implicit 0 
2 		Model Error:957.0516409552[70656,72191] 115 Explicit 0 
2 		Model Error:773.895581338751[72192,73727] 115 Explicit 0 
1 	Model Error:2680.39500382081[73728,98303] 283 Trend 16 
2 		Model Error:568.867874677751[73728,75263] 115 Explicit 0 
2 		Model Error:633.151491291697[75264,76799] 115 Explicit 0 
2 		Model Error:873.210693661531[76800,78335] 115 Explicit 0 
2 		Model Error:714.726111737415[78336,79871] 115 Explicit 0 
2 		Model Error:1590.31167439833[79872,81407] 101 Trend 0 
2 		Model Error:836.079735388317[81408,82943] 115 Explicit 0 
2 		Model Error:2030.47048973088[82944,84479] 115 Explicit 0 
2 		Model Error:818.443991844346[84480,86015] 115 Explicit 0 
2 		Model Error:1027.09115524549[86016,87551] 115 Explicit 0 
2 		Model Error:943.996511860962[87552,89087] 115 Explicit 0 
2 		Model Error:840.626167651259[89088,90623] 115 Explicit 0 
2 		Model Error:516.425125786234[90624,92159] 115 Explicit 0 
2 		Model Error:626.929964405586[92160,93695] 115 Explicit 0 
2 		Model Error:774.249647703618[93696,95231] 115 Explicit 0 
2 		Model Error:755.518511701437[95232,96767] 115 Explicit 0 
2 		Model Error:2124.5383043593[96768,98303] 101 Implicit 0 
1 	Model Error:2877.59858827017[98304,122879] 283 Trend 16 
2 		Model Error:695.585920120408[98304,99839] 115 Explicit 0 
2 		Model Error:2073.0484362987[99840,101375] 115 Explicit 0 
2 		Model Error:724.26287859818[101376,102911] 115 Explicit 0 
2 		Model Error:759.892163401521[102912,104447] 115 Explicit 0 
2 		Model Error:2037.14901289506[104448,105983] 101 Implicit 0 
2 		Model Error:868.093952624469[105984,107519] 115 Explicit 0 
2 		Model Error:752.822284304333[107520,109055] 115 Explicit 0 
2 		Model Error:580.936608803655[109056,110591] 115 Explicit 0 
2 		Model Error:607.640015084966[110592,112127] 115 Explicit 0 
2 		Model Error:887.864637737672[112128,113663] 115 Explicit 0 
2 		Model Error:743.651216303319[113664,115199] 115 Explicit 0 
2 		Model Error:748.697515771943[115200,116735] 115 Explicit 0 
2 		Model Error:1741.9089455513[116736,118271] 115 Explicit 0 
2 		Model Error:1339.4941137342[118272,119807] 115 Explicit 0 
2 		Model Error:807.231777673849[119808,121343] 115 Explicit 0 
2 		Model Error:1683.91892655924[121344,122879] 101 Implicit 0 
1 	Model Error:2719.09547126118[122880,147455] 283 Trend 16 
2 		Model Error:938.784682060112[122880,124415] 115 Explicit 0 
2 		Model Error:743.624498245183[124416,125951] 115 Explicit 0 
2 		Model Error:509.0718002168[125952,127487] 115 Explicit 0 
2 		Model Error:626.936640901316[127488,129023] 115 Explicit 0 
2 		Model Error:838.121368631782[129024,130559] 115 Explicit 0 
2 		Model Error:715.293713279127[130560,132095] 115 Explicit 0 
2 		Model Error:1945.96908565582[132096,133631] 101 Trend 0 
2 		Model Error:695.218148057415[133632,135167] 115 Explicit 0 
2 		Model Error:2034.71372364373[135168,136703] 115 Explicit 0 
2 		Model Error:786.50451308021[136704,138239] 115 Explicit 0 
