0 Model Error:3896.43997284128%[0,2500000] 283 Trend 406
3 			Model Error:2.18278728425503E-11%[5568,5663] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[5664,5759] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[5760,5855] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[5856,5951] 101 Trend 0
3 			Model Error:7.27595761418343E-12%[5952,6047] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[6048,6143] 101 Trend 0
1 	Model Error:2404.62600387775%[12288,18431] 163 Explicit 2
2 		Model Error:1848.69171975505%[0,3071] 131 Explicit 32
3 			Model Error:2.91038304567337E-11%[0,95] 100 Explicit 0
3 			Model Error:1.45519152283669E-11%[96,191] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[192,287] 101 Trend 0
3 			Model Error:4.36557456851006E-11%[288,383] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[384,479] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[480,575] 101 Trend 0
3 			Model Error:1.81898940354586E-11%[576,671] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[672,767] 101 Trend 0
3 			Model Error:1.81898940354586E-11%[768,863] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[864,959] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[960,1055] 100 Explicit 0
3 			Model Error:1.81898940354586E-11%[1056,1151] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[1152,1247] 101 Trend 0
3 			Model Error:3.63797880709171E-11%[1248,1343] 101 Trend 0
3 			Model Error:3.63797880709171E-11%[1344,1439] 101 Trend 0
3 			Model Error:3.63797880709171E-11%[1440,1535] 100 Explicit 0
3 			Model Error:3.63797880709171E-11%[1536,1631] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[1632,1727] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[1728,1823] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1824,1919] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[1920,2015] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2016,2111] 101 Trend 0
3 			Model Error:3.63797880709171E-11%[2112,2207] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[2208,2303] 101 Trend 0
3 			Model Error:3.63797880709171E-11%[2304,2399] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[2400,2495] 100 Explicit 0
3 			Model Error:1.45519152283669E-11%[2496,2591] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[2592,2687] 100 Explicit 0
3 			Model Error:3.63797880709171E-11%[2688,2783] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[2784,2879] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2880,2975] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[2976,3071] 101 Trend 0
2 		Model Error:2320.27465718956%[3072,6143] 101 Implicit 32
3 			Model Error:2.91038304567337E-11%[0,95] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[96,191] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[192,287] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[288,383] 101 Trend 0
3 			Model Error:3.63797880709171E-11%[384,479] 100 Explicit 0
3 			Model Error:7.27595761418343E-12%[480,575] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[576,671] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[672,767] 100 Explicit 0
3 			Model Error:3.63797880709171E-11%[768,863] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[864,959] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[960,1055] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1056,1151] 101 Trend 0
3 			Model Error:1.45519152283669E-11%[1152,1247] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[1248,1343] 101 Trend 0
3 			Model Error:1.81898940354586E-11%[1344,1439] 100 Explicit 0
3 			Model Error:2.91038304567337E-11%[1440,1535] 101 Trend 0
3 			Model Error:3.63797880709171E-11%[1536,1631] 100 Explicit 0
3 			Model Error:3.63797880709171E-11%[1632,1727] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[1728,1823] 100 Explicit 0
3 			Model Error:2.5465851649642E-11%[1824,1919] 100 Explicit 0
3 			Model Error:3.63797880709171E-11%[1920,2015] 100 Explicit 0
3 			Model Error:2.18278728425503E-11%[2016,2111] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2112,2207] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2208,2303] 101 Trend 0
3 			Model Error:2.18278728425503E-11%[2304,2399] 101 Trend 0
3 			Model Error:2.91038304567337E-11%[2400,2495] 100 Explicit 0
