0 Model Error:3102.45916429981[0,1000000] 345 Explicit 82 
2 		Model Error:762.148348007366[133632,135167] 121 Explicit 0 
1 	Model Error:5063.21467174721[135168,147455] 107 Trend 8 
2 		Model Error:2241.29082654559[135168,136703] 121 Explicit 0 
2 		Model Error:860.148126439024[136704,138239] 121 Explicit 0 
2 		Model Error:911.161641588027[138240,139775] 121 Explicit 0 
2 		Model Error:1715.70712494921[139776,141311] 121 Explicit 0 
2 		Model Error:930.043864864478[141312,142847] 121 Explicit 0 
2 		Model Error:734.006273006788[142848,144383] 121 Explicit 0 
2 		Model Error:662.86744665623[144384,145919] 121 Explicit 0 
2 		Model Error:705.979082011014[145920,147455] 121 Explicit 0 
1 	Model Error:5699.60405420577[147456,159743] 107 Trend 8 
2 		Model Error:861.717794691984[147456,148991] 121 Explicit 0 
2 		Model Error:1415.33409454715[148992,150527] 121 Explicit 0 
2 		Model Error:709.128199316172[150528,152063] 121 Explicit 0 
2 		Model Error:2311.24887699028[152064,153599] 121 Explicit 0 
2 		Model Error:858.428993339381[153600,155135] 121 Explicit 0 
2 		Model Error:815.268402562368[155136,156671] 121 Explicit 0 
2 		Model Error:2236.94540213674[156672,158207] 107 Trend 0 
2 		Model Error:1015.53389422086[158208,159743] 121 Explicit 0 
1 	Model Error:5081.31527388958[159744,172031] 107 Trend 8 
2 		Model Error:817.277647134193[159744,161279] 121 Explicit 0 
2 		Model Error:604.09194537552[161280,162815] 121 Explicit 0 
2 		Model Error:664.072550002384[162816,164351] 121 Explicit 0 
2 		Model Error:956.30907951745[164352,165887] 121 Explicit 0 
2 		Model Error:764.065890729573[165888,167423] 121 Explicit 0 
2 		Model Error:1852.65117804059[167424,168959] 107 Trend 0 
2 		Model Error:790.621408696905[168960,170495] 121 Explicit 0 
2 		Model Error:2269.3562858252[170496,172031] 121 Explicit 0 
1 	Model Error:4398.31994946084[172032,184319] 107 Implicit 8 
2 		Model Error:860.594552980678[172032,173567] 121 Explicit 0 
2 		Model Error:1020.82664575982[173568,175103] 121 Explicit 0 
2 		Model Error:1118.13513677289[175104,176639] 121 Explicit 0 
2 		Model Error:913.456320273413[176640,178175] 121 Explicit 0 
2 		Model Error:655.633391574818[178176,179711] 121 Explicit 0 
2 		Model Error:672.644009782387[179712,181247] 121 Explicit 0 
2 		Model Error:815.208859769962[181248,182783] 121 Explicit 0 
2 		Model Error:846.747064243165[182784,184319] 121 Explicit 0 
1 	Model Error:5498.23542805184[184320,196607] 107 Implicit 8 
2 		Model Error:2226.0223859734[184320,185855] 107 Implicit 0 
2 		Model Error:732.859978997869[185856,187391] 121 Explicit 0 
2 		Model Error:2243.68985122602[187392,188927] 121 Explicit 0 
2 		Model Error:828.87757602561[188928,190463] 121 Explicit 0 
2 		Model Error:854.473234406643[190464,191999] 121 Explicit 0 
2 		Model Error:1995.02722557847[192000,193535] 121 Explicit 0 
2 		Model Error:956.912700851524[193536,195071] 121 Explicit 0 
2 		Model Error:812.128613934314[195072,196607] 121 Explicit 0 
1 	Model Error:5178.15259314881[196608,208895] 107 Trend 8 
2 		Model Error:624.39909844775[196608,198143] 121 Explicit 0 
2 		Model Error:676.704451884536[198144,199679] 121 Explicit 0 
2 		Model Error:1015.9647038921[199680,201215] 121 Explicit 0 
2 		Model Error:745.693675400013[201216,202751] 121 Explicit 0 
2 		Model Error:892.005371151361[202752,204287] 121 Explicit 0 
2 		Model Error:1829.90569047385[204288,205823] 121 Explicit 0 
2 		Model Error:1520.84096518999[205824,207359] 121 Explicit 0 
2 		Model Error:894.259055456558[207360,208895] 121 Explicit 0 
1 	Model Error:4895.99911598936[208896,221183] 107 Implicit 8 
2 		Model Error:1807.19776042808[208896,210431] 107 Trend 0 
2 		Model Error:1100.15470740914[210432,211967] 121 Explicit 0 
2 		Model Error:853.308141941103[211968,213503] 121 Explicit 0 
2 		Model Error:634.84217927487[213504,215039] 121 Explicit 0 
2 		Model Error:678.909515706837[215040,216575] 121 Explicit 0 
2 		Model Error:851.512265806814[216576,218111] 121 Explicit 0 
2 		Model Error:836.123362048358[218112,219647] 121 Explicit 0 
2 		Model Error:2211.75411855008[219648,221183] 107 Implicit 0 
1 	Model Error:5188.77501804233[221184,233471] 107 Implicit 8 
2 		Model Error:680.470040993503[221184,222719] 121 Explicit 0 
2 		Model Error:2263.4913971528[222720,224255] 121 Explicit 0 
2 		Model Error:916.42362509534[224256,225791] 121 Explicit 0 
2 		Model Error:875.110301363406[225792,227327] 121 Explicit 0 
2 		Model Error:1656.69256707771[227328,228863] 121 Explicit 0 
2 		Model Error:862.476427868962[228864,230399] 121 Explicit 0 
2 		Model Error:780.311767426261[230400,231935] 121 Explicit 0 
2 		Model Error:643.917350532396[231936,233471] 121 Explicit 0 
1 	Model Error:5429.54385584397[233472,245759] 107 Trend 8 
2 		Model Error:710.868593961895[233472,235007] 121 Explicit 0 
2 		Model Error:903.352793758415[235008,236543] 121 Explicit 0 
2 		Model Error:1288.68683189605[236544,238079] 121 Explicit 0 
2 		Model Error:777.178330798764[238080,239615] 121 Explicit 0 
2 		Model Error:2394.57039182462[239616,241151] 121 Explicit 0 
2 		Model Error:834.102482872608[241152,242687] 121 Explicit 0 
2 		Model Error:845.244894945041[242688,244223] 121 Explicit 0 
2 		Model Error:2186.38492221435[244224,245759] 107 Trend 0 
1 	Model Error:4581.25592075206[245760,258047] 107 Implicit 8 
2 		Model Error:1063.30001147226[245760,247295] 121 Explicit 0 
2 		Model Error:880.141330557912[247296,248831] 121 Explicit 0 
2 		Model Error:638.251421848559[248832,250367] 121 Explicit 0 
2 		Model Error:690.340698766391[250368,251903] 121 Explicit 0 
2 		Model Error:938.576088906342[251904,253439] 121 Explicit 0 
2 		Model Error:762.274835334858[253440,254975] 121 Explicit 0 
2 		Model Error:1932.71614220272[254976,256511] 107 Trend 0 
2 		Model Error:734.25230965393[256512,258047] 121 Explicit 0 
1 	Model Error:4779.10301348915[258048,270335] 107 Implicit 8 
2 		Model Error:2224.22991668132[258048,259583] 121 Explicit 0 
2 		Model Error:903.332441056977[259584,261119] 121 Explicit 0 
2 		Model Error:1038.38824653918[261120,262655] 121 Explicit 0 
2 		Model Error:1154.19672916175[262656,264191] 121 Explicit 0 
2 		Model Error:900.703611286124[264192,265727] 121 Explicit 0 
2 		Model Error:681.802938031316[265728,267263] 121 Explicit 0 
2 		Model Error:655.472528512233[267264,268799] 121 Explicit 0 
2 		Model Error:787.405439586255[268800,270335] 121 Explicit 0 
1 	Model Error:5784.41600309122[270336,282623] 107 Trend 8 
2 		Model Error:832.87917749551[270336,271871] 121 Explicit 0 
2 		Model Error:2272.45342700037[271872,273407] 107 Implicit 0 
2 		Model Error:782.818219048124[273408,274943] 121 Explicit 0 
2 		Model Error:2339.90443080272[274944,276479] 121 Explicit 0 
2 		Model Error:824.261978904258[276480,278015] 121 Explicit 0 
2 		Model Error:803.700329141073[278016,279551] 121 Explicit 0 
2 		Model Error:2293.12359649583[279552,281087] 107 Implicit 0 
2 		Model Error:982.391770279457[281088,282623] 121 Explicit 0 
1 	Model Error:4980.77172917851[282624,294911] 107 Implicit 8 
2 		Model Error:827.406810800421[282624,284159] 121 Explicit 0 
2 		Model Error:653.780998955044[284160,285695] 121 Explicit 0 
2 		Model Error:681.104447686732[285696,287231] 121 Explicit 0 
2 		Model Error:980.05025003383[287232,288767] 121 Explicit 0 
2 		Model Error:764.089512020888[288768,290303] 121 Explicit 0 
2 		Model Error:1030.12300782692[290304,291839] 121 Explicit 0 
2 		Model Error:1736.99574722366[291840,293375] 121 Explicit 0 
2 		Model Error:1786.13165398683[293376,294911] 121 Explicit 0 
1 	Model Error:4616.16766849238[294912,307199] 107 Trend 8 
2 		Model Error:918.062496554106[294912,296447] 121 Explicit 0 
2 		Model Error:1400.55681603256[296448,297983] 121 Explicit 0 
2 		Model Error:1039.67918462372[297984,299519] 121 Explicit 0 
2 		Model Error:848.626883849407[299520,301055] 121 Explicit 0 
2 		Model Error:570.200083238349[301056,302591] 121 Explicit 0 
2 		Model Error:670.487418823097[302592,304127] 121 Explicit 0 
2 		Model Error:906.249122207868[304128,305663] 121 Explicit 0 
2 		Model Error:792.259370694523[305664,307199] 121 Explicit 0 
1 	Model Error:5436.31632509399[307200,319487] 107 Implicit 8 
2 		Model Error:2265.13210764077[307200,308735] 107 Implicit 0 
2 		Model Error:740.352041029895[308736,310271] 121 Explicit 0 
2 		Model Error:2253.77644200736[310272,311807] 121 Explicit 0 
2 		Model Error:860.581476757572[311808,313343] 121 Explicit 0 
2 		Model Error:794.447736347094[313344,314879] 121 Explicit 0 
2 		Model Error:2067.77323981973[314880,316415] 107 Implicit 0 
2 		Model Error:917.957401744701[316416,317951] 121 Explicit 0 
2 		Model Error:808.784143528086[317952,319487] 121 Explicit 0 
1 	Model Error:4930.31467390751[319488,331775] 107 Implicit 8 
2 		Model Error:645.54746545184[319488,321023] 121 Explicit 0 
2 		Model Error:705.962642867846[321024,322559] 121 Explicit 0 
