0 Model Error:0.111767037840536[0,99999] 1102 Explicit 1
1 	Model Error:0.111767037840536[0,99999] 1102 Explicit 1
5 					Model Error:4.54747350886464E-13[8700,8799] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[8800,8899] 103 Explicit 0
5 					Model Error:6.25277607468888E-13[8900,8999] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[9000,9099] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[9100,9199] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[9200,9299] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[9300,9399] 103 Explicit 0
5 					Model Error:4.2632564145606E-13[9400,9499] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[9500,9599] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[9600,9699] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[9700,9799] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[9800,9899] 103 Explicit 0
5 					Model Error:3.26849658449646E-13[9900,9999] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[10000,10099] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[10100,10199] 103 Explicit 0
5 					Model Error:1.56319401867222E-13[10200,10299] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[10300,10399] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[10400,10499] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[10500,10599] 103 Explicit 0
5 					Model Error:9.9475983006414E-14[10600,10699] 103 Explicit 0
5 					Model Error:2.8421709430404E-13[10700,10799] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[10800,10899] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[10900,10999] 103 Explicit 0
5 					Model Error:1.70530256582424E-12[11000,11099] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[11100,11199] 103 Explicit 0
5 					Model Error:8.5265128291212E-13[11200,11299] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[11300,11399] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[11400,11499] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[11500,11599] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[11600,11699] 103 Explicit 0
5 					Model Error:3.41060513164848E-13[11700,11799] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[11800,11899] 103 Explicit 0
5 					Model Error:2.8421709430404E-13[11900,11999] 103 Explicit 0
5 					Model Error:2.1316282072803E-13[12000,12099] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[12100,12199] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[12200,12299] 103 Explicit 0
5 					Model Error:4.54747350886464E-13[12300,12399] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[12400,12499] 103 Explicit 0
5 					Model Error:6.25277607468888E-13[12500,12599] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[12600,12699] 103 Explicit 0
5 					Model Error:5.11590769747272E-13[12700,12799] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[12800,12899] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[12900,12999] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[13000,13099] 103 Explicit 0
5 					Model Error:3.97903932025656E-13[13100,13199] 103 Explicit 0
5 					Model Error:1.70530256582424E-12[13200,13299] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[13300,13399] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[13400,13499] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[13500,13599] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[13600,13699] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[13700,13799] 103 Explicit 0
5 					Model Error:4.54747350886464E-13[13800,13899] 103 Explicit 0
5 					Model Error:2.27373675443232E-13[13900,13999] 103 Explicit 0
5 					Model Error:2.8421709430404E-13[14000,14099] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[14100,14199] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[14200,14299] 103 Explicit 0
5 					Model Error:2.70006239588838E-13[14300,14399] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[14400,14499] 103 Explicit 0
5 					Model Error:2.98427949019242E-13[14500,14599] 103 Explicit 0
5 					Model Error:3.41060513164848E-13[14600,14699] 103 Explicit 0
5 					Model Error:4.54747350886464E-13[14700,14799] 103 Explicit 0
5 					Model Error:1.81898940354586E-12[14800,14899] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[14900,14999] 103 Explicit 0
5 					Model Error:4.54747350886464E-13[15000,15099] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[15100,15199] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[15200,15299] 103 Explicit 0
5 					Model Error:4.54747350886464E-13[15300,15399] 103 Explicit 0
5 					Model Error:1.56319401867222E-13[15400,15499] 103 Explicit 0
5 					Model Error:3.69482222595252E-13[15500,15599] 103 Explicit 0
5 					Model Error:1.70530256582424E-12[15600,15699] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[15700,15799] 103 Explicit 0
5 					Model Error:6.25277607468888E-13[15800,15899] 104 Trend 0
5 					Model Error:7.95807864051312E-13[15900,15999] 103 Explicit 0
5 					Model Error:2.27373675443232E-13[16000,16099] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[16100,16199] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[16200,16299] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[16300,16399] 103 Explicit 0
5 					Model Error:2.8421709430404E-13[16400,16499] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[16500,16599] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[16600,16699] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[16700,16799] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[16800,16899] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[16900,16999] 103 Explicit 0
5 					Model Error:1.47792889038101E-12[17000,17099] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[17100,17199] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[17200,17299] 103 Explicit 0
5 					Model Error:2.04636307898909E-12[17300,17399] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[17400,17499] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[17500,17599] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[17600,17699] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[17700,17799] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[17800,17899] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[17900,17999] 103 Explicit 0
5 					Model Error:3.41060513164848E-13[18000,18099] 103 Explicit 0
5 					Model Error:3.41060513164848E-13[18100,18199] 103 Explicit 0
5 					Model Error:3.97903932025656E-13[18200,18299] 103 Explicit 0
5 					Model Error:1.81898940354586E-12[18300,18399] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[18400,18499] 103 Explicit 0
5 					Model Error:1.93267624126747E-12[18500,18599] 103 Explicit 0
5 					Model Error:1.81898940354586E-12[18600,18699] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[18700,18799] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[18800,18899] 103 Explicit 0
5 					Model Error:8.5265128291212E-13[18900,18999] 103 Explicit 0
5 					Model Error:1.81898940354586E-12[19000,19099] 103 Explicit 0
5 					Model Error:1.47792889038101E-12[19100,19199] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[19200,19299] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[19300,19399] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[19400,19499] 103 Explicit 0
5 					Model Error:6.25277607468888E-13[19500,19599] 103 Explicit 0
5 					Model Error:4.54747350886464E-13[19600,19699] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[19700,19799] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[19800,19899] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[19900,19999] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[20000,20099] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[20100,20199] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[20200,20299] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[20300,20399] 103 Explicit 0
5 					Model Error:2.55795384873636E-13[20400,20499] 103 Explicit 0
5 					Model Error:1.25055521493778E-12[20500,20599] 103 Explicit 0
5 					Model Error:1.47792889038101E-12[20600,20699] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[20700,20799] 103 Explicit 0
5 					Model Error:4.54747350886464E-13[20800,20899] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[20900,20999] 103 Explicit 0
5 					Model Error:4.54747350886464E-13[21000,21099] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[21100,21199] 103 Explicit 0
5 					Model Error:2.27373675443232E-13[21200,21299] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[21300,21399] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[21400,21499] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[21500,21599] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[21600,21699] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[21700,21799] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[21800,21899] 103 Explicit 0
5 					Model Error:6.82121026329696E-13[21900,21999] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[22000,22099] 103 Explicit 0
5 					Model Error:1.56319401867222E-13[22100,22199] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[22200,22299] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[22300,22399] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[22400,22499] 103 Explicit 0
5 					Model Error:1.47792889038101E-12[22500,22599] 103 Explicit 0
5 					Model Error:2.8421709430404E-13[22600,22699] 103 Explicit 0
5 					Model Error:4.2632564145606E-13[22700,22799] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[22800,22899] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[22900,22999] 103 Explicit 0
5 					Model Error:5.6843418860808E-13[23000,23099] 103 Explicit 0
5 					Model Error:2.27373675443232E-13[23100,23199] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[23200,23299] 103 Explicit 0
5 					Model Error:1.81898940354586E-12[23300,23399] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[23400,23499] 103 Explicit 0
5 					Model Error:1.47792889038101E-12[23500,23599] 103 Explicit 0
5 					Model Error:1.02318153949454E-12[23600,23699] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[23700,23799] 103 Explicit 0
5 					Model Error:1.59161572810262E-12[23800,23899] 103 Explicit 0
5 					Model Error:1.13686837721616E-12[23900,23999] 103 Explicit 0
5 					Model Error:2.8421709430404E-13[24000,24099] 103 Explicit 0
5 					Model Error:7.95807864051312E-13[24100,24199] 103 Explicit 0
5 					Model Error:4.54747350886464E-13[24200,24299] 103 Explicit 0
5 					Model Error:4.54747350886464E-13[24300,24399] 103 Explicit 0
5 					Model Error:1.36424205265939E-12[24400,24499] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[24500,24599] 103 Explicit 0
5 					Model Error:1.81898940354586E-12[24600,24699] 103 Explicit 0
5 					Model Error:9.09494701772928E-13[24700,24799] 103 Explicit 0
