0	99	657103	3333	6222
1	99	656809	3270	6165
2	99	656515	183	5985
3	99	656221	690	6492
4	99	655927	1998	4902
5	99	655633	1878	4782
6	99	655339	2196	6537
7	99	655045	1890	4794
8	99	654751	639	6444
9	99	654457	579	6378
10	99	654163	1683	4587
11	99	653869	486	6282
12	99	653575	1698	4602
13	99	653281	1245	4161
14	99	652987	588	6387
15	99	652693	639	3543
16	99	652399	705	6510
17	99	652105	486	3393
18	99	651811	2031	4932
19	99	651517	1740	4641
20	99	651223	237	6036
21	99	650929	1650	4557
22	99	650635	1707	4611
23	99	650341	1971	4872
24	99	650047	1626	4530
25	0	650047	3393	6282
26	99	649753	1356	4269
27	99	649459	588	3492
28	99	649165	201	6000
29	99	648871	336	6132
30	99	648577	513	3417
31	0	648577	3480	6378
32	99	648283	351	6150
33	101	647985	147	5946
34	0	647985	3594	6492
35	99	647691	1917	4818
36	99	647397	252	6051
37	99	647103	1824	4725
38	101	646805	825	6627
39	101	646507	384	6180
40	99	646213	690	3594
41	99	645919	3471	6369
42	99	645625	3453	6351
43	99	645331	1545	4458
44	99	645037	603	6405
45	99	644743	420	6216
46	99	644449	504	6300
47	99	644155	1254	4170
48	99	643861	1302	4218
49	99	643567	2046	4947
50	99	643273	528	3432
51	99	642979	1536	4449
52	99	642685	579	3480
53	99	642391	1413	4326
54	99	642097	1269	4185
55	99	641803	1236	4152
56	99	641509	537	6336
57	0	641509	3543	6444
58	0	641509	3492	6387
59	99	641215	732	2196
60	99	640921	2376	5274
61	99	640627	1182	4098
62	99	640333	2175	3624
63	99	640039	1635	4539
64	99	639745	90	5889
65	99	639451	1293	4209
66	99	639157	3579	6477
67	99	638863	528	6327
68	99	638569	1767	4668
69	99	638275	1458	4371
70	99	637981	3417	6312
71	99	637687	453	3360
72	99	637393	1938	4842
73	99	637099	1428	4341
74	99	636805	570	3471
75	99	636511	1815	4716
76	99	636217	747	6552
77	99	635923	1527	4440
78	99	635629	1899	4803
79	0	635629	732	6537
80	99	635335	1320	4233
81	99	635041	312	6108
82	99	634747	2079	4977
83	0	634747	570	6369
84	0	634747	3654	6552
85	101	634449	402	6198
86	99	634155	3360	6249
87	99	633861	1398	4311
88	99	633567	2358	5259
89	99	633273	2295	5190
